(0,-1.5,0)
(0,1.5,0)
(1,-1.5,0)
(0.984808,-1.5,0.173648)
(0.939693,-1.5,0.34202)
(0.866025,-1.5,0.5)
(0.766044,-1.5,0.642788)
(0.642788,-1.5,0.766044)
(0.5,-1.5,0.866025)
(0.34202,-1.5,0.939693)
(0.173648,-1.5,0.984808)
(6.12323e-17,-1.5,1)
(-0.173648,-1.5,0.984808)
(-0.34202,-1.5,0.939693)
(-0.5,-1.5,0.866025)
(-0.642788,-1.5,0.766044)
(-0.766044,-1.5,0.642788)
(-0.866025,-1.5,0.5)
(-0.939693,-1.5,0.34202)
(-0.984808,-1.5,0.173648)
(-1,-1.5,1.22465e-16)
(-0.984808,-1.5,-0.173648)
(-0.939693,-1.5,-0.34202)
(-0.866025,-1.5,-0.5)
(-0.766044,-1.5,-0.642788)
(-0.642788,-1.5,-0.766044)
(-0.5,-1.5,-0.866025)
(-0.34202,-1.5,-0.939693)
(-0.173648,-1.5,-0.984808)
(-1.83697e-16,-1.5,-1)
(0.173648,-1.5,-0.984808)
(0.34202,-1.5,-0.939693)
(0.5,-1.5,-0.866025)
(0.642788,-1.5,-0.766044)
(0.766044,-1.5,-0.642788)
(0.866025,-1.5,-0.5)
(0.939693,-1.5,-0.34202)
(0.984808,-1.5,-0.173648)
(2,1.5,0)
(1.96962,1.5,0.347296)
(1.87939,1.5,0.68404)
(1.73205,1.5,1)
(1.53209,1.5,1.28558)
(1.28558,1.5,1.53209)
(1,1.5,1.73205)
(0.68404,1.5,1.87939)
(0.347296,1.5,1.96962)
(1.22465e-16,1.5,2)
(-0.347296,1.5,1.96962)
(-0.68404,1.5,1.87939)
(-1,1.5,1.73205)
(-1.28558,1.5,1.53209)
(-1.53209,1.5,1.28558)
(-1.73205,1.5,1)
(-1.87939,1.5,0.68404)
(-1.96962,1.5,0.347296)
(-2,1.5,2.44929e-16)
(-1.96962,1.5,-0.347296)
(-1.87939,1.5,-0.68404)
(-1.73205,1.5,-1)
(-1.53209,1.5,-1.28558)
(-1.28558,1.5,-1.53209)
(-1,1.5,-1.73205)
(-0.68404,1.5,-1.87939)
(-0.347296,1.5,-1.96962)
(-3.67394e-16,1.5,-2)
(0.347296,1.5,-1.96962)
(0.68404,1.5,-1.87939)
(1,1.5,-1.73205)
(1.28558,1.5,-1.53209)
(1.53209,1.5,-1.28558)
(1.73205,1.5,-1)
(1.87939,1.5,-0.68404)
